basePerHeat,everyThirdHeatExtra,winBonus,heatBandIncrease,fullWin,basicCalibrationMean,adaptiveCalibrationMean,maxExitRateRatio,objective
2,4,30,3,124,42.992,80.664,0.8629015615656629,0.8785024000000003
6,4,30,0,118,54,82.288,1.3445255702368122,0.9026751204415497
5,2,20,1,106,48.584,75.936,1.125859241575439,0.9044939229988543
3,8,30,1,116,46.248,76.848,1.1124980138490597,0.9108028828013706
7,0,30,0,114,53.032,80.44,1.3325851305356249,0.9308907613479669
7,0,20,1,122,59.464,90.192,1.1884995110462753,0.9584941076434381
4,10,10,1,116,58.096,86.552,1.2782872738197477,0.962581660493065
4,0,40,2,124,43.168,79.184,0.8493014691698366,0.9866993777777782
4,2,10,2,102,47.44,75.568,0.986311361105307,0.9912365511111116
3,10,10,1,104,50.52,76.432,1.250147535985219,1.0012388116105717
3,4,30,2,118,44.136,77.832,0.902623375717507,1.0019104000000003
5,8,30,0,122,54.968,84.136,1.3747662674089767,1.0036111247580015
7,2,30,0,122,57.304,86.424,1.3383705298843107,1.0448827961386162
2,8,20,2,112,45.104,76.48,0.9680436135459763,1.0521099377777774
6,0,50,0,122,45.456,76.72,1.1975995966812787,1.0664999212898971
7,0,10,1,112,59.464,86.992,1.23221845572335,1.075740338048717
4,10,30,0,118,51.664,80,1.3829790015455852,1.1127503269703345
4,8,40,0,120,47.392,77.216,1.3025835451395706,1.122695853201643
5,6,30,0,114,50.696,78.152,1.3513320909582858,1.1340760706748227
5,0,40,1,118,44.312,76.352,1.0028098047790464,1.1513907911111108
4,6,10,1,100,49.552,74.584,1.2136954563894051,1.161656098873205
2,4,20,3,114,42.992,77.464,0.8985476035594939,1.189570844444445
3,0,30,3,120,42.024,78.816,0.8450466468487613,1.1920851199999996
6,2,30,0,110,49.728,76.304,1.3181522727707211,1.2151538906980262
4,4,30,1,112,45.28,75,1.0728564375626357,1.2227839999999999
6,4,10,1,116,60.432,88.84,1.2453660527200225,1.2632969987116476
5,4,40,0,116,46.424,75.368,1.2677963654392082,1.3046579398146445
4,0,30,2,114,43.168,75.984,0.8850690610489622,1.3398656000000007
3,8,20,1,106,46.248,73.648,1.1608359679593816,1.3587738444248847
2,10,40,1,122,42.944,75.912,1.0599672359732015,1.379967999999999
5,2,10,1,96,48.584,72.736,1.1753911043812215,1.390168646736339
3,4,20,2,108,44.136,74.632,0.9413252033825303,1.3935335111111102
6,4,20,0,108,54,79.088,1.3989267666858032,1.40406544584094
7,2,20,0,112,57.304,83.224,1.3898314749918494,1.4095654356120524
7,0,20,0,104,53.032,77.24,1.3877932146593173,1.4781634930093286
5,8,20,0,112,54.968,80.936,1.4291209681071668,1.4785133376268336
2,8,10,2,102,45.104,73.28,1.0103162604257132,1.482189937777778
5,8,10,1,120,61.4,90.688,1.275442557722319,1.5479444795923045
3,0,20,3,110,42.024,75.616,0.8808082484928055,1.5557188977777776
5,0,30,1,108,44.312,73.152,1.0466772503074386,1.5851116800000002
2,4,10,3,104,42.992,74.264,0.9372655871234062,1.5916615111111123
6,0,40,0,112,45.456,73.52,1.2497258032832932,1.5928903337950637
2,6,40,2,124,40.832,76.896,0.858844295804913,1.6036991999999999
6,6,20,0,116,58.272,85.072,1.4187552805364458,1.6050334220700566
4,6,50,0,122,43.12,74.432,1.2161739832242502,1.6584823728032845
4,4,20,1,102,45.28,71.8,1.120671766256235,1.6983803531389976
4,10,20,0,108,51.664,76.8,1.4406031266099846,1.7301728788519775
4,8,30,0,110,47.392,74.016,1.358899305845994,1.7397508045402987
4,2,50,1,124,41.008,75.416,0.9335711747513521,1.753863111111111
3,6,40,1,118,41.976,74.064,1.018513964491829,1.772539520000001
5,6,20,0,104,50.696,74.952,1.4090258508455005,1.7752302119262837
4,0,20,2,104,43.168,72.784,0.9239817478394201,1.7840540444444433
2,10,30,1,112,42.944,72.712,1.1066155905104753,1.8265545727468622
5,10,20,0,120,59.24,86.92,1.4464491920947005,1.8561541194023428
3,4,10,2,98,44.136,71.432,0.9834945483655085,1.8761788444444436
6,2,20,0,100,49.728,73.104,1.3758520877311375,1.8782717944450174
8,0,20,0,116,60.608,87.36,1.4023174764558564,1.8874394925650972
7,2,10,0,102,57.304,80.024,1.4454080610157163,1.9302516600282051
5,4,30,0,106,46.424,72.168,1.3240117014524755,1.942573139101063
3,8,10,1,96,46.248,70.448,1.2135652874215384,1.9429769871682054
3,10,40,0,116,44.088,73.08,1.3074887311223626,1.9663140283421447
3,0,10,3,100,42.024,72.416,0.9197303982273528,2.010374897777778
5,2,50,0,118,42.152,72.584,1.1778525207796835,2.0124749643784523
3,2,40,2,120,39.864,75.048,0.8399930168174223,2.0209952
2,6,30,2,114,40.832,73.696,0.8961367098650481,2.0219463111111113
6,4,10,0,98,54,75.888,1.4579158776571632,2.0699348438327787
7,2,10,1,120,63.736,92.976,1.2440558281139398,2.092156172908743
6,6,10,0,106,58.272,81.872,1.4742079004518824,2.0981317465292912
7,4,20,0,120,61.576,89.208,1.4093507732139645,2.108408807104621
5,0,20,1,98,44.312,69.952,1.0945581858201303,2.109854791111111
5,8,10,0,102,54.968,77.736,1.487950687901637,2.119325889946827
7,0,10,0,94,53.032,74.04,1.4477734724511842,2.1915973451260347
4,2,40,1,114,41.008,72.216,0.9749391231174249,2.2142080000000006
6,0,30,0,102,45.456,70.32,1.3065961470049448,2.2692791036583104
3,6,30,1,108,41.976,70.864,1.064506918408823,2.2713412977777767
4,6,40,0,112,43.12,71.232,1.27080893305463,2.272250972890089
8,0,10,0,106,60.608,84.16,1.4556375325948623,2.2887015211657378
4,4,10,1,92,45.28,68.6,1.1729480002506951,2.3007330637023817
2,2,30,3,116,38.72,74.68,0.8354566806293725,2.315505777777777
4,0,10,2,94,43.168,69.584,0.9664734354843693,2.3192647111111104
5,10,10,0,110,59.24,83.72,1.5017363088493951,2.3201942725612703
2,10,20,1,102,42.944,69.512,1.1575588792898734,2.3899673077919603
7,4,10,0,110,61.576,86.008,1.461786854442277,2.457982535489009
6,8,20,0,124,62.544,91.056,1.4359776217706273,2.481523218645172
