cellId,seed,starter,clearedHeats,wonNormalOrGauntlet,coins,score,hands,discards,censoredAtCap
normal/medium/adaptive/full/astra,2775637788,polish,11,False,89,11022,27,8,False
normal/medium/adaptive/full/astra,2775637789,polish,12,True,122,15343,15,9,False
normal/medium/adaptive/full/astra,2775637790,polish,12,True,122,14393,27,12,False
normal/medium/adaptive/full/astra,2775637791,polish,11,False,89,13394,25,12,False
normal/medium/adaptive/full/astra,2775637792,polish,12,True,122,14674,22,14,False
normal/medium/adaptive/full/astra,2775637793,polish,5,False,26,2582,10,3,False
normal/medium/adaptive/full/astra,2775637794,polish,8,False,53,6402,13,3,False
normal/medium/adaptive/full/astra,2775637795,polish,8,False,53,5785,13,4,False
normal/medium/adaptive/full/astra,2775637796,polish,8,False,53,6187,14,0,False
normal/medium/adaptive/full/astra,2775637797,polish,8,False,53,5656,15,2,False
normal/medium/adaptive/full/astra,2775637798,polish,11,False,89,12905,27,12,False
normal/medium/adaptive/full/astra,2775637799,polish,8,False,53,6255,15,9,False
normal/medium/adaptive/full/astra,2775637800,polish,10,False,76,10009,22,11,False
normal/medium/adaptive/full/astra,2775637801,polish,8,False,53,4579,17,4,False
normal/medium/adaptive/full/astra,2775637802,polish,12,True,122,13580,29,11,False
normal/medium/adaptive/full/astra,2775637803,polish,11,False,89,11811,27,9,False
normal/medium/adaptive/full/astra,2775637804,polish,9,False,63,7100,22,4,False
normal/medium/adaptive/full/astra,2775637805,polish,7,False,43,3857,15,3,False
normal/medium/adaptive/full/astra,2775637806,polish,9,False,63,7459,21,7,False
normal/medium/adaptive/full/astra,2775637807,polish,8,False,53,6010,16,6,False
normal/medium/adaptive/full/astra,2775637808,polish,11,False,89,16263,26,21,False
normal/medium/adaptive/full/astra,2775637809,polish,9,False,63,7191,21,15,False
normal/medium/adaptive/full/astra,2775637810,polish,9,False,63,8178,17,14,False
normal/medium/adaptive/full/astra,2775637811,polish,8,False,53,5287,15,9,False
normal/medium/adaptive/full/astra,2775637812,polish,8,False,53,6114,17,3,False
normal/medium/adaptive/full/astra,2775637813,polish,10,False,76,8800,27,5,False
normal/medium/adaptive/full/astra,2775637814,polish,10,False,76,13852,16,14,False
